accession	description
"SRR10782747"	"unspecified sequencing; single-cell RNAseq of human NSCLC: Sample SAMN13361304"
"SRR10782749"	"unspecified sequencing; single-cell RNAseq of human NSCLC: Sample SAMN13361306"
"SRR10787852"	"unspecified sequencing; single-cell RNAseq of human NSCLC: Sample SAMN13368167"
"SRR10787855"	"unspecified sequencing; single-cell RNAseq of human NSCLC: Sample SAMN13368170"
"SRR10787857"	"unspecified sequencing; single-cell RNAseq of human NSCLC: Sample SAMN13368172"
"SRR8429016"	"Illumina HiSeq 2500 sequencing; WES of ALK+ NSCLC lung tissue"
"SRR8429015"	"Illumina HiSeq 2500 sequencing; WES of ALK+ NSCLC lung tissue"
"SRR8429014"	"Illumina HiSeq 2500 sequencing; WES of ALK+ NSCLC lung tissue"
"SRR8429013"	"Illumina HiSeq 2500 sequencing; WES of ALK+ NSCLC lung tissue"
"SRR8429012"	"Illumina HiSeq 2500 sequencing; WES of ALK+ NSCLC lung tissue"
"SRR8429011"	"Illumina HiSeq 2500 sequencing; WES of ALK+ NSCLC lung tissue"
"SRR8429009"	"Illumina HiSeq 2500 sequencing; WES of ALK+ NSCLC lung tissue"
"SRR8429008"	"Illumina HiSeq 2500 sequencing; WES of ALK+ NSCLC lung tissue"
"SRR8429007"	"Illumina HiSeq 2500 sequencing; WES of ALK+ NSCLC lung tissue"
"SRR8429000"	"Illumina HiSeq 2500 sequencing; WES of ALK+ NSCLC lung tissue"
"SRR10782968"	"unspecified sequencing; single-cell RNAseq of human NSCLC: Sample SAMN13361525"
"SRR10782969"	"unspecified sequencing; single-cell RNAseq of human NSCLC: Sample SAMN13361526"
"SRR10782970"	"unspecified sequencing; single-cell RNAseq of human NSCLC: Sample SAMN13361527"
"SRR10782971"	"unspecified sequencing; single-cell RNAseq of human NSCLC: Sample SAMN13361528"
"SRR10782972"	"unspecified sequencing; single-cell RNAseq of human NSCLC: Sample SAMN13361529"
"SRR10782973"	"unspecified sequencing; single-cell RNAseq of human NSCLC: Sample SAMN13361530"
"SRR10782974"	"unspecified sequencing; single-cell RNAseq of human NSCLC: Sample SAMN13361531"
"SRR10782975"	"unspecified sequencing; single-cell RNAseq of human NSCLC: Sample SAMN13361532"
"SRR10782976"	"unspecified sequencing; single-cell RNAseq of human NSCLC: Sample SAMN13361533"
"SRR10782977"	"unspecified sequencing; single-cell RNAseq of human NSCLC: Sample SAMN13361534"
"SRR10782978"	"unspecified sequencing; single-cell RNAseq of human NSCLC: Sample SAMN13361535"
"SRR10782979"	"unspecified sequencing; single-cell RNAseq of human NSCLC: Sample SAMN13361536"
"SRR10782980"	"unspecified sequencing; single-cell RNAseq of human NSCLC: Sample SAMN13361537"
"SRR10782981"	"unspecified sequencing; single-cell RNAseq of human NSCLC: Sample SAMN13361538"
"SRR10782982"	"unspecified sequencing; single-cell RNAseq of human NSCLC: Sample SAMN13361539"
"SRR10782983"	"unspecified sequencing; single-cell RNAseq of human NSCLC: Sample SAMN13361540"
"SRR10782984"	"unspecified sequencing; single-cell RNAseq of human NSCLC: Sample SAMN13361541"
"SRR10782985"	"unspecified sequencing; single-cell RNAseq of human NSCLC: Sample SAMN13361542"
"SRR10782986"	"unspecified sequencing; single-cell RNAseq of human NSCLC: Sample SAMN13361543"
"SRR10782987"	"unspecified sequencing; single-cell RNAseq of human NSCLC: Sample SAMN13361544"
"SRR10782988"	"unspecified sequencing; single-cell RNAseq of human NSCLC: Sample SAMN13361545"
"SRR10782989"	"unspecified sequencing; single-cell RNAseq of human NSCLC: Sample SAMN13361546"
"SRR10782990"	"unspecified sequencing; single-cell RNAseq of human NSCLC: Sample SAMN13361547"
"SRR10782991"	"unspecified sequencing; single-cell RNAseq of human NSCLC: Sample SAMN13361548"
"SRR10782992"	"unspecified sequencing; single-cell RNAseq of human NSCLC: Sample SAMN13361549"
"SRR10784658"	"unspecified sequencing; single-cell RNAseq of human NSCLC: Sample SAMN13363919"
"SRR10784659"	"unspecified sequencing; single-cell RNAseq of human NSCLC: Sample SAMN13363920"
