accession	description
"SRR8427048"	"Illumina MiSeq sequencing; Sequencing of sand samples from lab mesocosm CH4 injection experiment"
"SRR8427047"	"Illumina MiSeq sequencing; Sequencing of sand samples from lab mesocosm CH4 injection experiment"
"SRR8427046"	"Illumina MiSeq sequencing; Sequencing of sand samples from lab mesocosm CH4 injection experiment"
"SRR8427045"	"Illumina MiSeq sequencing; Sequencing of sand samples from lab mesocosm CH4 injection experiment"
"SRR8427044"	"Illumina MiSeq sequencing; Sequencing of sand samples from lab mesocosm CH4 injection experiment"
"SRR8427043"	"Illumina MiSeq sequencing; Sequencing of sand samples from lab mesocosm CH4 injection experiment"
"SRR8427042"	"Illumina MiSeq sequencing; Sequencing of sand samples from lab mesocosm CH4 injection experiment"
"SRR8427041"	"Illumina MiSeq sequencing; Sequencing of sand samples from lab mesocosm CH4 injection experiment"
"SRR8427040"	"Illumina MiSeq sequencing; Sequencing of sand samples from lab mesocosm CH4 injection experiment"
"SRR8427038"	"Illumina MiSeq sequencing; Sequencing of sand samples from lab mesocosm CH4 injection experiment"
"SRR8427033"	"Illumina MiSeq sequencing; Sequencing of sand samples from lab mesocosm CH4 injection experiment"
"SRR8427032"	"Illumina MiSeq sequencing; Sequencing of sand samples from lab mesocosm CH4 injection experiment"
"SRR8427021"	"Illumina MiSeq sequencing; Sequencing of sand samples from lab mesocosm CH4 injection experiment"
"SRR8427020"	"Illumina MiSeq sequencing; Sequencing of sand samples from lab mesocosm CH4 injection experiment"
"SRR8427019"	"Illumina MiSeq sequencing; Sequencing of sand samples from lab mesocosm CH4 injection experiment"
